"approval_of_congress_binary","trust_clean","trust_numeric","trust_binary","big_interests_clean","big_interests_numeric","waste_clean","waste_numeric","income_clean","income_category","race_clean","education_clean","education_category","ideology_clean","ideology_numeric","congress_approval_clean","congress_approval_numeric","age_clean","age_category","sex_clean","marital_clean","marital_simple","economy_clean","economy_numeric","elections_responsive_clean","elections_responsive_numeric","social_trust_clean","social_trust_numeric","congress_approval_category","congress_binary","party_clean","party_numeric","state_clean"
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,22,"$50,000-$99,999","White, non-Hispanic",12,"Some college/Associate","Slightly conservative",5,"Disapprove strongly",4,27,"18-29","Male","Married: spouse present","Married","Much worse",5,"Not much",3,"Most of the time",2,NA,2,"Independent-Republican",5,39
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,14,"$25,000-$49,999","White, non-Hispanic",11,"Some college/Associate","Liberal",2,"Disapprove not strongly",3,59,"45-64","Female","Married: spouse present","Married","Somewhat better",2,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,12
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",15,"Graduate degree","Conservative",6,"Disapprove strongly",4,67,"65+","Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,NA,2,"Not very strong Republican",6,9
2,"About half the time",3,0,"For benefit of all",2,"Waste some",2,12,"$25,000-$49,999","Black, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove not strongly",3,78,"65+","Female","Separated","Previously married","About the same",3,"A good deal",1,"Most of the time",2,NA,2,"Independent-Democrat",3,NA
2,"Some of the time",4,0,"For benefit of all",2,"Waste some",2,19,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Slightly liberal",3,"Disapprove not strongly",3,45,"45-64","Female","Married: spouse present","Married","About the same",3,"Some",2,"Some of the time",4,NA,2,"Strong Democrat",1,35
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Disapprove not strongly",3,38,"30-44","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"Never",5,NA,2,"Not very strong Republican",6,29
2,"Some of the time",4,0,"For benefit of all",2,"Don't waste very much",3,27,"$100,000+","White, non-Hispanic",15,"Graduate degree","Liberal",2,"Disapprove strongly",4,46,"45-64","Female","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"About half the time",3,NA,2,"Strong Democrat",1,25
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,26,"$100,000+","Black, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,68,"65+","Female","Married: spouse present","Married","Much better",1,"A good deal",1,"Some of the time",4,NA,2,"Strong Democrat",1,6
1,"About half the time",3,0,"Run by big interests",1,"Waste some",2,1,"Under $25,000","Black, non-Hispanic",10,"Some college/Associate","Slightly liberal",3,"Approve not strongly",2,57,"45-64","Female","Widowed","Previously married","About the same",3,"Some",2,"About half the time",3,"Approve",1,"Strong Democrat",1,1
2,"About half the time",3,0,"For benefit of all",2,"Waste a lot",1,NA,NA,"White, non-Hispanic",9,"High school graduate","Extremely conservative",7,"Disapprove strongly",4,69,"65+","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Some of the time",4,NA,2,"Strong Republican",7,12
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,19,"$50,000-$99,999","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,75,"65+","Female","Married: spouse absent","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,51
1,"Never",5,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","Hispanic",10,"Some college/Associate","Conservative",6,"Approve strongly",1,70,"65+","Female","Widowed","Previously married","Much worse",5,"Not much",3,"Some of the time",4,"Approve",1,"Not very strong Republican",6,17
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,24,"$100,000+","Black, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove not strongly",3,64,"45-64","Female","Widowed","Previously married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,36
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",10,"Some college/Associate","Extremely conservative",7,"Disapprove strongly",4,59,"45-64","Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,NA,2,"Strong Republican",7,13
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",12,"Some college/Associate","Extremely conservative",7,"Disapprove not strongly",3,50,"45-64","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"Some of the time",4,NA,2,"Strong Republican",7,8
1,"Always",1,1,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Black, non-Hispanic",8,"Less than high school",NA,NA,"Approve strongly",1,69,"65+","Male","Widowed","Previously married","About the same",3,"Some",2,"Some of the time",4,"Approve",1,"Strong Democrat",1,24
2,"Most of the time",2,1,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","Hispanic",9,"High school graduate","Liberal",2,"Disapprove strongly",4,53,"45-64","Male","Widowed","Previously married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Strong Republican",7,8
2,"About half the time",3,0,"Run by big interests",1,"Waste some",2,24,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove not strongly",3,73,"65+","Female","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,27
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"Black, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,52,"45-64","Male","Married: spouse present","Married","About the same",3,"Some",2,"Some of the time",4,NA,2,"Independent",4,13
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",8,"Less than high school","Conservative",6,"Disapprove strongly",4,61,"45-64","Male","Married: spouse present","Married","Much worse",5,"Some",2,"Some of the time",4,NA,2,"Strong Republican",7,5
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"White, non-Hispanic",11,"Some college/Associate","Slightly conservative",5,"Disapprove strongly",4,59,"45-64","Female","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,NA,2,"Independent-Republican",5,51
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","Hispanic",13,"Bachelor's degree","Extremely conservative",7,"Disapprove strongly",4,30,"30-44","Male","Separated","Previously married","Much worse",5,"A good deal",1,"Most of the time",2,NA,2,"Strong Republican",7,12
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,24,"$100,000+","White, non-Hispanic",95,NA,"Liberal",2,"Disapprove strongly",4,75,"65+","Male","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,41
1,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,23,"$100,000+","White, non-Hispanic",14,"Graduate degree","Conservative",6,"Approve not strongly",2,67,"65+","Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Approve",1,"Independent-Republican",5,24
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree",NA,NA,"Disapprove strongly",4,46,"45-64","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,NA,2,"Not very strong Republican",6,18
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Black, non-Hispanic",95,NA,"Moderate",4,"Disapprove strongly",4,48,"45-64","Female","Divorced","Previously married","Much worse",5,"Not much",3,"About half the time",3,NA,2,"Independent",4,37
1,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,3,"Under $25,000","Black, non-Hispanic",9,"High school graduate","Moderate",4,"Approve strongly",1,70,"65+","Male","Married: spouse absent","Married","About the same",3,"Some",2,"Most of the time",2,"Approve",1,"Strong Democrat",1,20
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,19,"$50,000-$99,999","White, non-Hispanic",12,"Some college/Associate","Slightly liberal",3,"Disapprove not strongly",3,60,"45-64","Male","Widowed","Previously married","About the same",3,"A good deal",1,"Most of the time",2,NA,2,"Independent-Democrat",3,42
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","White, non-Hispanic",9,"High school graduate","Conservative",6,"Disapprove not strongly",3,72,"65+","Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Strong Republican",7,49
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,15,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Conservative",6,"Disapprove strongly",4,49,"45-64","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Some of the time",4,NA,2,"Strong Republican",7,12
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,NA,NA,"White, non-Hispanic",10,"Some college/Associate","Liberal",2,"Disapprove not strongly",3,80,"65+","Female","Married: spouse present","Married","About the same",3,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,24
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",9,"High school graduate","Conservative",6,"Disapprove not strongly",3,40,"30-44","Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Not very strong Republican",6,24
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",12,"Some college/Associate","Conservative",6,"Disapprove not strongly",3,40,"30-44","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,NA,2,"Not very strong Republican",6,24
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,18,"$50,000-$99,999","Black, non-Hispanic",9,"High school graduate","Moderate",4,"Approve strongly",1,80,"65+","Female","Married: spouse absent","Married","Somewhat worse",4,"A good deal",1,"About half the time",3,"Approve",1,"Strong Democrat",1,11
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,28,"$100,000+","White, non-Hispanic",14,"Graduate degree","Conservative",6,"Disapprove strongly",4,78,"65+","Male","Married: spouse present","Married","About the same",3,"A good deal",1,"Most of the time",2,NA,2,"Strong Republican",7,6
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"White, non-Hispanic",11,"Some college/Associate","Moderate",4,"Disapprove strongly",4,69,"65+","Female","Married: spouse absent","Married","About the same",3,"Some",2,"Some of the time",4,NA,2,"Independent-Democrat",3,25
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",10,"Some college/Associate","Conservative",6,"Disapprove strongly",4,63,"45-64","Male","Married: spouse present","Married","Much worse",5,"A good deal",1,"Most of the time",2,NA,2,"Not very strong Republican",6,13
2,"Most of the time",2,1,"For benefit of all",2,"Don't waste very much",3,26,"$100,000+","White, non-Hispanic",15,"Graduate degree","Liberal",2,"Disapprove strongly",4,54,"45-64","Female","Widowed","Previously married","Much better",1,"Some",2,"Most of the time",2,NA,2,"Independent-Democrat",3,11
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",11,"Some college/Associate","Conservative",6,"Disapprove not strongly",3,32,"30-44","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"Most of the time",2,NA,2,"Strong Republican",7,24
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Black, non-Hispanic",12,"Some college/Associate","Moderate",4,"Disapprove strongly",4,59,"45-64","Female","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,28
2,"About half the time",3,0,"For benefit of all",2,"Waste a lot",1,22,"$50,000-$99,999","White, non-Hispanic",9,"High school graduate","Conservative",6,"Disapprove strongly",4,80,"65+","Male","Widowed","Previously married","Much worse",5,"A good deal",1,"Some of the time",4,NA,2,"Strong Republican",7,39
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",11,"Some college/Associate","Conservative",6,"Disapprove strongly",4,60,"45-64","Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"About half the time",3,NA,2,"Independent-Republican",5,27
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,21,"$50,000-$99,999","Hispanic",9,"High school graduate","Moderate",4,"Disapprove strongly",4,33,"30-44","Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,NA,2,"Not very strong Republican",6,48
1,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Approve not strongly",2,37,"30-44","Female","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Approve",1,"Independent-Democrat",3,19
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",10,"Some college/Associate","Conservative",6,"Disapprove not strongly",3,62,"45-64","Male","Married: spouse present","Married","Much worse",5,"Not much",3,"About half the time",3,NA,2,"Strong Republican",7,35
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","Black, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,39,"30-44","Male","Married: spouse present","Married","Somewhat better",2,"Not much",3,"Most of the time",2,NA,2,"Strong Democrat",1,45
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,27,"$100,000+","Black, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Approve not strongly",2,53,"45-64","Female","Married: spouse present","Married","About the same",3,"Some",2,"Some of the time",4,"Approve",1,"Strong Democrat",1,55
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,77,"65+","Male","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,8
2,"About half the time",3,0,"For benefit of all",2,"Waste some",2,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,75,"65+","Male","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,9
2,"Most of the time",2,1,"Run by big interests",1,"Waste a lot",1,17,"$50,000-$99,999","White, non-Hispanic",9,"High school graduate","Slightly conservative",5,"Disapprove not strongly",3,51,"45-64","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Some of the time",4,NA,2,"Not very strong Republican",6,NA
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Moderate",4,"Disapprove strongly",4,32,"30-44","Female","Married: spouse present","Married","Much worse",5,"A good deal",1,"About half the time",3,NA,2,"Strong Republican",7,1
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Disapprove strongly",4,80,"65+","Female","Married: spouse absent","Married","Somewhat worse",4,"Some",2,"Most of the time",2,NA,2,"Strong Republican",7,34
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",13,"Bachelor's degree","Extremely conservative",7,"Disapprove strongly",4,NA,NA,"Male","Married: spouse present","Married","Much worse",5,"Not much",3,"Most of the time",2,NA,2,"Independent-Republican",5,49
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,24,"$100,000+","White, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Disapprove strongly",4,77,"65+","Female","Separated","Previously married","Much better",1,"Some",2,"Most of the time",2,NA,2,"Strong Democrat",1,17
2,"About half the time",3,0,"Run by big interests",1,"Waste some",2,25,"$100,000+","White, non-Hispanic",11,"Some college/Associate","Slightly liberal",3,"Disapprove strongly",4,66,"65+","Male","Married: spouse present","Married","Much better",1,"Some",2,"Most of the time",2,NA,2,"Not very strong Democrat",2,51
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,16,"$50,000-$99,999",NA,10,"Some college/Associate","Moderate",4,"Disapprove strongly",4,57,"45-64","Male","Married: spouse present","Married","Much worse",5,"A good deal",1,"Most of the time",2,NA,2,"Independent-Republican",5,12
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Hispanic",9,"High school graduate","Slightly conservative",5,"Disapprove strongly",4,62,"45-64","Female","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,NA,2,"Independent-Democrat",3,6
1,"About half the time",3,0,"Run by big interests",1,"Waste some",2,13,"$25,000-$49,999","Black, non-Hispanic",10,"Some college/Associate","Moderate",4,"Approve strongly",1,31,"30-44","Male","Separated","Previously married","Much worse",5,"A good deal",1,"About half the time",3,"Approve",1,"Independent-Democrat",3,17
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,28,"$100,000+","Hispanic",16,"Graduate degree","Slightly conservative",5,"Disapprove strongly",4,52,"45-64","Male","Married: spouse present","Married","About the same",3,"A good deal",1,"Most of the time",2,NA,2,"Independent-Republican",5,48
1,"Always",1,1,"For benefit of all",2,"Waste some",2,1,"Under $25,000","Hispanic",9,"High school graduate",NA,NA,"Approve strongly",1,64,"45-64","Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Some of the time",4,"Approve",1,"Strong Democrat",1,6
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,13,"$25,000-$49,999","White, non-Hispanic",10,"Some college/Associate","Slightly liberal",3,"Disapprove not strongly",3,44,"30-44","Female","Divorced","Previously married","About the same",3,"Some",2,"Some of the time",4,NA,2,"Independent-Democrat",3,48
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","Hispanic",9,"High school graduate","Conservative",6,"Disapprove not strongly",3,41,"30-44","Female","Married: spouse present","Married","About the same",3,"A good deal",1,"Never",5,NA,2,"Not very strong Democrat",2,12
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,24,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly conservative",5,"Disapprove strongly",4,31,"30-44","Female","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Not very strong Republican",6,22
2,"Most of the time",2,1,"Run by big interests",1,"Waste a lot",1,17,"$50,000-$99,999","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,53,"45-64","Male","Widowed","Previously married","Much better",1,"A good deal",1,"Some of the time",4,NA,2,"Independent-Democrat",3,18
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",9,"High school graduate","Conservative",6,"Disapprove strongly",4,80,"65+","Male","Married: spouse absent","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Independent-Republican",5,49
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",9,"High school graduate","Moderate",4,"Disapprove strongly",4,58,"45-64","Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Strong Republican",7,25
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,19,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Disapprove strongly",4,48,"45-64","Female","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,NA,2,"Independent-Democrat",3,39
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,28,"$100,000+","White, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,63,"45-64","Male","Widowed","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Not very strong Republican",6,36
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,28,"$100,000+","White, non-Hispanic",14,"Graduate degree","Conservative",6,"Disapprove strongly",4,50,"45-64","Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"About half the time",3,NA,2,"Not very strong Republican",6,25
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,1,"Under $25,000","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,73,"65+","Male","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,13
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,NA,NA,NA,16,"Graduate degree","Liberal",2,"Disapprove strongly",4,NA,NA,"Male","Married: spouse present","Married","Much better",1,"A good deal",1,"About half the time",3,NA,2,"Strong Democrat",1,42
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,27,"$100,000+","White, non-Hispanic",12,"Some college/Associate","Liberal",2,"Disapprove strongly",4,80,"65+","Female","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,42
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Black, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,76,"65+","Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,37
1,"About half the time",3,0,"Run by big interests",1,"Waste some",2,28,"$100,000+","White, non-Hispanic",16,"Graduate degree","Moderate",4,"Approve not strongly",2,54,"45-64","Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,"Approve",1,"Strong Republican",7,51
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,42,"30-44","Male","Married: spouse present","Married","Somewhat worse",4,"Not much",3,"About half the time",3,NA,2,"Independent",4,9
2,"About half the time",3,0,"Run by big interests",1,"Waste some",2,25,"$100,000+","Asian/Pacific Islander, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Disapprove not strongly",3,57,"45-64","Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,6
2,"About half the time",3,0,"Run by big interests",1,"Waste some",2,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,67,"65+","Female","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,NA,2,"Independent-Democrat",3,36
1,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,27,"$100,000+","White, non-Hispanic",9,"High school graduate","Slightly conservative",5,NA,NA,74,"65+","Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,"Approve",1,"Independent-Republican",5,26
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Liberal",2,"Disapprove strongly",4,54,"45-64","Male","Married: spouse present","Married","About the same",3,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,47
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",10,"Some college/Associate","Conservative",6,"Approve not strongly",2,30,"30-44","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"About half the time",3,"Approve",1,"Strong Republican",7,47
2,"About half the time",3,0,NA,NA,NA,NA,NA,NA,NA,14,"Graduate degree","Liberal",2,"Disapprove strongly",4,NA,NA,NA,"Married: spouse present","Married","Much better",1,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,6
1,"Some of the time",4,0,"For benefit of all",2,"Waste some",2,25,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Approve not strongly",2,53,"45-64","Male","Married: spouse present","Married","Much worse",5,"A good deal",1,"Most of the time",2,"Approve",1,"Not very strong Republican",6,5
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,22,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate",NA,NA,"Disapprove strongly",4,80,"65+","Male","Widowed","Previously married","Somewhat worse",4,"Some",2,"About half the time",3,NA,2,"Independent-Democrat",3,6
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,13,"$25,000-$49,999","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,69,"65+","Male","Widowed","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Not very strong Democrat",2,16
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,7,"Under $25,000","White, non-Hispanic",9,"High school graduate","Moderate",4,"Disapprove strongly",4,60,"45-64","Male","Married: spouse present","Married","Much worse",5,"Not much",3,"Never",5,NA,2,"Independent",4,17
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,11,"$25,000-$49,999","White, non-Hispanic",9,"High school graduate","Moderate",4,"Disapprove strongly",4,76,"65+","Female","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,42
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,26,"$100,000+","Asian/Pacific Islander, non-Hispanic",13,"Bachelor's degree","Extremely liberal",1,"Disapprove not strongly",3,29,"18-29","Male","Separated","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,53
1,"About half the time",3,0,"For benefit of all",2,"Waste some",2,16,"$50,000-$99,999","Hispanic",12,"Some college/Associate","Slightly liberal",3,"Approve not strongly",2,27,"18-29","Male","Separated","Previously married","Somewhat worse",4,"Some",2,"About half the time",3,"Approve",1,"Not very strong Democrat",2,6
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",9,"High school graduate","Slightly conservative",5,"Disapprove strongly",4,60,"45-64","Male","Married: spouse present","Married","About the same",3,"Some",2,"About half the time",3,NA,2,"Independent-Republican",5,4
2,"Some of the time",4,0,"For benefit of all",2,"Waste some",2,25,"$100,000+","White, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Disapprove strongly",4,39,"30-44","Male","Married: spouse present","Married","Much better",1,"Not much",3,"Most of the time",2,NA,2,"Independent-Democrat",3,48
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,18,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Conservative",6,"Disapprove strongly",4,68,"65+","Female","Married: spouse present","Married","Much worse",5,"A good deal",1,"Most of the time",2,NA,2,"Strong Republican",7,13
2,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Black, non-Hispanic",NA,NA,NA,NA,"Disapprove strongly",4,66,"65+","Female","Married: spouse absent","Married","About the same",3,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,48
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,4,"Under $25,000","Hispanic",12,"Some college/Associate","Slightly conservative",5,"Disapprove not strongly",3,58,"45-64","Female","Widowed","Previously married","Much better",1,"Some",2,"Some of the time",4,NA,2,"Strong Democrat",1,42
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,24,"$100,000+","White, non-Hispanic",15,"Graduate degree","Liberal",2,"Approve not strongly",2,42,"30-44","Male","Widowed","Previously married","Much better",1,"A good deal",1,"Most of the time",2,"Approve",1,"Strong Democrat",1,37
2,"About half the time",3,0,"For benefit of all",2,"Waste some",2,28,"$100,000+","White, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,58,"45-64","Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,NA,2,"Not very strong Democrat",2,27
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,1,"Under $25,000","White, non-Hispanic",9,"High school graduate",NA,NA,"Disapprove not strongly",3,76,"65+","Male","Married: spouse present","Married","About the same",3,"Some",2,"About half the time",3,NA,2,"Not very strong Republican",6,39
